     #Energy           s           p           d       tot  
     6.33096    -0.39944    -0.27768     0.00000    -0.67712
     6.46396    -0.43504    -0.27704     0.00000    -0.71208
     6.59796    -0.36136    -0.28784     0.00000    -0.64920
     6.73096    -0.25336    -0.29896     0.00000    -0.55232
     6.86396    -0.18856    -0.29128     0.00000    -0.47984
     6.99796    -0.16584    -0.31344     0.00000    -0.47928
     7.13096    -0.14440    -0.39040     0.00000    -0.53480
     7.26396    -0.14088    -0.55232     0.00000    -0.69320
     7.39796    -0.14288    -0.49288     0.00000    -0.63576
     7.53096    -0.13488    -0.33600     0.00000    -0.47088
     7.66396    -0.14080    -0.36376     0.00000    -0.50456
     7.79796    -0.16512    -0.51040     0.00000    -0.67552
     7.93096    -0.17920    -0.62864     0.00000    -0.80784
     8.06396    -0.16216    -0.56792     0.00000    -0.73008
     8.19796    -0.14224    -0.48376     0.00000    -0.62600
     8.33096    -0.10560    -0.44248     0.00000    -0.54808
     8.46396    -0.07996    -0.44608     0.00000    -0.52604
     8.59796    -0.08704    -0.48408     0.00000    -0.57112
     8.73096    -0.07523    -0.54312     0.00000    -0.61835
     8.86396    -0.07000    -0.63200     0.00000    -0.70200
     8.99796    -0.07362    -0.62528     0.00000    -0.69890
     9.13096    -0.05369    -0.49272     0.00000    -0.54641
     9.26396    -0.02720    -0.26600     0.00000    -0.29320
     9.39796    -0.01281    -0.09280     0.00000    -0.10561
     9.53096    -0.00526    -0.03586     0.00000    -0.04111
     9.66396    -0.00065    -0.01287     0.00000    -0.01353
     9.79796     0.00020    -0.00064     0.00000    -0.00044
     9.93096    -0.00002    -0.00042     0.00000    -0.00043
    10.06396    -0.00002    -0.00029     0.00000    -0.00030
    10.19796    -0.00000     0.00002     0.00000     0.00002
    10.33096    -0.00000    -0.00000     0.00000    -0.00000
    10.46396    -0.00000    -0.00000     0.00000    -0.00000
    10.59796    -0.00000    -0.00000     0.00000    -0.00000
    10.73096    -0.00000    -0.00000     0.00000    -0.00000
    10.86396    -0.00000    -0.00000     0.00000    -0.00000
    10.99796    -0.00000    -0.00000     0.00000    -0.00000
    11.13096    -0.00000    -0.00000     0.00000    -0.00000
    11.26396     0.00000     0.00000     0.00000     0.00000
    11.39796     0.00000     0.00000     0.00000     0.00000
    11.53096     0.00000     0.00000     0.00000     0.00000
    11.66396     0.00000     0.00000     0.00000     0.00000
    11.79796     0.00000     0.00000     0.00000     0.00000
    11.93096     0.00000     0.00000     0.00000     0.00000
    12.06396     0.00000     0.00000     0.00000     0.00000
    12.19796     0.00000     0.00000     0.00000     0.00000
    12.33096     0.00000     0.00000     0.00000     0.00000
    12.46396     0.00000     0.00000     0.00000     0.00000
    12.59796     0.00000     0.00000     0.00000     0.00000
    12.73096     0.00000     0.00000     0.00000     0.00000
    12.86396     0.00000     0.00000     0.00000     0.00000
    12.99796     0.00000     0.00000     0.00000     0.00000
    13.13096     0.00000     0.00000     0.00000     0.00000
    13.26396     0.00000     0.00000     0.00000     0.00000
    13.39796     0.00000     0.00000     0.00000     0.00000
    13.53096     0.00000     0.00000     0.00000     0.00000
    13.66396     0.00000     0.00000     0.00000     0.00000
    13.79796     0.00000     0.00000     0.00000     0.00000
    13.93096     0.00000     0.00000     0.00000     0.00000
    14.06396     0.00000     0.00000     0.00000     0.00000
    14.19796     0.00000     0.00000     0.00000     0.00000
    14.33096     0.00000     0.00000     0.00000     0.00000
    14.46396     0.00000     0.00000     0.00000     0.00000
    14.59796     0.00000     0.00000     0.00000     0.00000
    14.73096     0.00000     0.00000     0.00000     0.00000
    14.86396     0.00000     0.00000     0.00000     0.00000
    14.99796     0.00000     0.00000     0.00000     0.00000
    15.13096     0.00000     0.00000     0.00000     0.00000
    15.26396     0.00000     0.00000     0.00000     0.00000
    15.39796     0.00000     0.00000     0.00000     0.00000
    15.53096     0.00000     0.00000     0.00000     0.00000
    15.66396     0.00000     0.00000     0.00000     0.00000
    15.79796     0.00000     0.00000     0.00000     0.00000
